yr,month,rain,run
2001,01,90.85726593621075,ED2_wet
2001,02,31.456438807072118,ED2_wet
2001,03,40.3132134641055,ED2_wet
2001,04,54.04767930158414,ED2_wet
2001,05,228.55829999316484,ED2_wet
2001,06,296.98309355881065,ED2_wet
2001,07,336.47702978923917,ED2_wet
2001,08,169.34357767459005,ED2_wet
2001,09,212.51172828488052,ED2_wet
2001,10,284.94292739778757,ED2_wet
2001,11,643.8181308098137,ED2_wet
2001,12,489.67920751310885,ED2_wet
2002,01,17.001355791580863,ED2_wet
2002,02,58.46185993286781,ED2_wet
2002,03,65.20523734507151,ED2_wet
2002,04,129.07368099549785,ED2_wet
2002,05,173.93395837862045,ED2_wet
2002,06,320.34860879648477,ED2_wet
2002,07,368.209490692243,ED2_wet
2002,08,365.94924218952656,ED2_wet
2002,09,247.73053997196257,ED2_wet
2002,10,332.3666366748512,ED2_wet
2002,11,543.3909296058118,ED2_wet
2002,12,924.9038522131741,ED2_wet
2003,01,90.85726593621075,ED2_wet
2003,02,31.456438807072118,ED2_wet
2003,03,40.3132134641055,ED2_wet
2003,04,54.04767930158414,ED2_wet
2003,05,228.55829999316484,ED2_wet
2003,06,296.98309355881065,ED2_wet
2003,07,336.47702978923917,ED2_wet
2003,08,169.34357767459005,ED2_wet
2003,09,212.51172828488052,ED2_wet
2003,10,284.94292739778757,ED2_wet
2003,11,643.8181308098137,ED2_wet
2003,12,489.67920751310885,ED2_wet
2004,01,17.001355791580863,ED2_wet
2004,02,60.251757624791935,ED2_wet
2004,03,65.20523734507151,ED2_wet
2004,04,129.07368099549785,ED2_wet
2004,05,173.93395837862045,ED2_wet
2004,06,320.34860879648477,ED2_wet
2004,07,368.209490692243,ED2_wet
2004,08,365.94924218952656,ED2_wet
2004,09,247.73053997196257,ED2_wet
2004,10,332.3666366748512,ED2_wet
2004,11,543.3909296058118,ED2_wet
2004,12,924.9038522131741,ED2_wet
2005,01,90.85726593621075,ED2_wet
2005,02,31.456438807072118,ED2_wet
2005,03,40.3132134641055,ED2_wet
2005,04,54.04767930158414,ED2_wet
2005,05,228.55829999316484,ED2_wet
2005,06,296.98309355881065,ED2_wet
2005,07,336.47702978923917,ED2_wet
2005,08,169.34357767459005,ED2_wet
2005,09,212.51172828488052,ED2_wet
2005,10,284.94292739778757,ED2_wet
2005,11,643.8181308098137,ED2_wet
2005,12,489.67920751310885,ED2_wet
2006,01,17.001355791580863,ED2_wet
2006,02,58.46185993286781,ED2_wet
2006,03,65.20523734507151,ED2_wet
2006,04,129.07368099549785,ED2_wet
2006,05,173.93395837862045,ED2_wet
2006,06,320.34860879648477,ED2_wet
2006,07,368.209490692243,ED2_wet
2006,08,365.94924218952656,ED2_wet
2006,09,247.73053997196257,ED2_wet
2006,10,332.3666366748512,ED2_wet
2006,11,543.3909296058118,ED2_wet
2006,12,924.9038522131741,ED2_wet
2007,01,90.85726593621075,ED2_wet
2007,02,31.456438807072118,ED2_wet
2007,03,40.3132134641055,ED2_wet
2007,04,54.04767930158414,ED2_wet
2007,05,228.55829999316484,ED2_wet
2007,06,296.98309355881065,ED2_wet
2007,07,336.47702978923917,ED2_wet
2007,08,169.34357767459005,ED2_wet
2007,09,212.51172828488052,ED2_wet
2007,10,284.94292739778757,ED2_wet
2007,11,643.8181308098137,ED2_wet
2007,12,489.67920751310885,ED2_wet
2008,01,17.001355791580863,ED2_wet
2008,02,60.251757624791935,ED2_wet
2008,03,65.20523734507151,ED2_wet
2008,04,129.07368099549785,ED2_wet
2008,05,173.93395837862045,ED2_wet
2008,06,320.34860879648477,ED2_wet
2008,07,368.209490692243,ED2_wet
2008,08,365.94924218952656,ED2_wet
2008,09,247.73053997196257,ED2_wet
2008,10,332.3666366748512,ED2_wet
2008,11,543.3909296058118,ED2_wet
2008,12,924.9038522131741,ED2_wet
2009,01,90.85726593621075,ED2_wet
2009,02,31.456438807072118,ED2_wet
2009,03,40.3132134641055,ED2_wet
2009,04,54.04767930158414,ED2_wet
2009,05,228.55829999316484,ED2_wet
2009,06,296.98309355881065,ED2_wet
2009,07,336.47702978923917,ED2_wet
2009,08,169.34357767459005,ED2_wet
2009,09,212.51172828488052,ED2_wet
2009,10,284.94292739778757,ED2_wet
2009,11,643.8181308098137,ED2_wet
2009,12,489.67920751310885,ED2_wet
2010,01,17.001355791580863,ED2_wet
2010,02,58.46185993286781,ED2_wet
2010,03,65.20523734507151,ED2_wet
2010,04,129.07368099549785,ED2_wet
2010,05,173.93395837862045,ED2_wet
2010,06,320.34860879648477,ED2_wet
2010,07,368.209490692243,ED2_wet
2010,08,365.94924218952656,ED2_wet
2010,09,247.73053997196257,ED2_wet
2010,10,332.3666366748512,ED2_wet
2010,11,543.3909296058118,ED2_wet
2010,12,924.9038522131741,ED2_wet
2011,01,90.85726593621075,ED2_wet
2011,02,31.456438807072118,ED2_wet
2011,03,40.3132134641055,ED2_wet
2011,04,54.04767930158414,ED2_wet
2011,05,228.55829999316484,ED2_wet
2011,06,296.98309355881065,ED2_wet
2011,07,336.47702978923917,ED2_wet
2011,08,169.34357767459005,ED2_wet
2011,09,212.51172828488052,ED2_wet
2011,10,284.94292739778757,ED2_wet
2011,11,643.8181308098137,ED2_wet
2011,12,489.67920751310885,ED2_wet
2012,01,17.001355791580863,ED2_wet
2012,02,60.251757624791935,ED2_wet
2012,03,65.20523734507151,ED2_wet
2012,04,129.07368099549785,ED2_wet
2012,05,173.93395837862045,ED2_wet
2012,06,320.34860879648477,ED2_wet
2012,07,368.209490692243,ED2_wet
2012,08,365.94924218952656,ED2_wet
2012,09,247.73053997196257,ED2_wet
2012,10,332.3666366748512,ED2_wet
2012,11,543.3909296058118,ED2_wet
2012,12,924.9038522131741,ED2_wet
2013,01,90.85726593621075,ED2_wet
2013,02,31.456438807072118,ED2_wet
2013,03,40.3132134641055,ED2_wet
2013,04,54.04767930158414,ED2_wet
2013,05,228.55829999316484,ED2_wet
2013,06,296.98309355881065,ED2_wet
2013,07,336.47702978923917,ED2_wet
2013,08,169.34357767459005,ED2_wet
2013,09,212.51172828488052,ED2_wet
2013,10,284.94292739778757,ED2_wet
2013,11,643.8181308098137,ED2_wet
2013,12,489.67920751310885,ED2_wet
2014,01,17.001355791580863,ED2_wet
2014,02,58.46185993286781,ED2_wet
2014,03,65.20523734507151,ED2_wet
2014,04,129.07368099549785,ED2_wet
2014,05,173.93395837862045,ED2_wet
2014,06,320.34860879648477,ED2_wet
2014,07,368.209490692243,ED2_wet
2014,08,365.94924218952656,ED2_wet
2014,09,247.73053997196257,ED2_wet
2014,10,332.3666366748512,ED2_wet
2014,11,543.3909296058118,ED2_wet
2014,12,924.9038522131741,ED2_wet
2015,01,90.85726593621075,ED2_wet
